State,2018 Population
Alabama,4888949
Alaska,738068
Arizona,7123898
Arkansas,3020327
California,39776830
Colorado,5684203
Connecticut,3588683
Delaware,971180
District of Columbia,703608
Florida,21312211
Georgia,10545138
Hawaii,1426393
Idaho,1753860
Illinois,12768320
Indiana,6699629
Iowa,3160553
Kansas,2918515
Kentucky,4472265
Louisiana,4682509
Maine,1341582
Maryland,6079602
Massachusetts,6895917
Michigan,9991177
Minnesota,5628162
Mississippi,2982785
Missouri,6135888
Montana,1062330
Nebraska,1932549
Nevada,3056824
New Hampshire,1350575
New Jersey,9032872
New Mexico,2090708
New York,19862512
North Carolina,10390149
North Dakota,755238
Ohio,11694664
Oklahoma,3940521
Oregon,4199563
Pennsylvania,12823989
Rhode Island,1061712
South Carolina,5088916
South Dakota,877790
Tennessee,6782564
Texas,28704330
Utah,3159345
Vermont,623960
Virginia,8525660
Washington,7530552
West Virginia,1803077
Wisconsin,5818049
Wyoming,573720
